"","x","y","SUMgammaE"
"326",35.5,34.5,0.120161210198285
"327",36.5,34.5,0.121036886924124
"328",37.5,34.5,0.0662678322145922
"329",42.5,44.5,0.139721773077633
"330",42.5,45.5,0.132327405050053
"331",35.5,31.5,0.0952486438230012
"332",36.5,31.5,0.129932903337313
"333",37.5,31.5,0.120913775706216
"334",35.5,32.5,0.12169569758796
"335",36.5,32.5,0.158326319272991
"336",37.5,32.5,0.13511691920127
"337",42.5,46.5,0.105835439856309
"338",35.5,30.5,0.0576760903751273
"339",36.5,30.5,0.0719605539960183
"340",37.5,30.5,0.0658479173207445
"341",42.5,47.5,0.0786972806745452
"342",42.5,48.5,0.0663729855542856
"343",35.5,29.5,0.0329155728060968
"344",36.5,29.5,0.0232735919700652
"345",37.5,29.5,0.0112540443889835
"346",36.5,27.5,-0.00274603239502216
"347",37.5,27.5,-0.047532994757634
"348",35.5,28.5,0.0294079015885764
"349",36.5,28.5,-0.000165443675452571
"350",37.5,28.5,-0.028140217596428
"351",35.5,26.5,0.0337536353945002
"352",36.5,26.5,-0.0205350256656037
"353",37.5,26.5,-0.0746562844613034
"354",35.5,27.5,0.0388545099798009
"355",36.5,24.5,-0.088235421841037
"356",37.5,24.5,-0.133300438882765
"357",35.5,25.5,0.00340818651446339
"358",36.5,25.5,-0.068678432514886
"359",37.5,25.5,-0.124320132986877
"360",35.5,23.5,-0.00399656935498425
"361",36.5,23.5,-0.0535890719138276
"362",37.5,23.5,-0.0824362051369482
"363",35.5,24.5,-0.0157337010392294
"364",36.5,21.5,-0.032402228494844
"365",37.5,21.5,-0.0646290425587028
"366",35.5,22.5,0.0061482733505863
"367",36.5,22.5,-0.027642663865376
"368",37.5,22.5,-0.0536841532804276
"369",35.5,20.5,-0.00405005601871049
"370",36.5,20.5,-0.0291866533127925
"371",37.5,20.5,-0.0560579861023778
"372",35.5,21.5,0.000181944215898589
"373",37.5,18.5,-0.028906005677997
"374",35.5,19.5,-0.0104694541732719
"375",36.5,19.5,-0.0234428090320884
"376",37.5,19.5,-0.0346094726893384
"377",36.5,17.5,-0.0293765868934802
"378",37.5,17.5,-0.0141526449883067
"379",35.5,18.5,-0.0267291687168163
"380",36.5,18.5,-0.0327612031365086
"381",36.5,16.5,0.00095679126745096
