origin,destination,travelTime,entryTime,exitTime,travelDistance
12,8,52.99399999999878,25511.417,25564.411,NaN
13,8,58.95100000000093,25511.5,25570.451,NaN
3,12,73.32800000000134,25513.997,25587.325,NaN
13,8,63.184000000001106,25514.475,25577.659,NaN
12,8,61.669999999998254,25515.721,25577.391,NaN
12,8,48.16200000000026,25517.285,25565.447,NaN
3,6,40.22399999999834,25518.501,25558.725,NaN
12,8,52.80199999999968,25521.021,25573.823,NaN
3,7,37.40200000000186,25524.707,25562.109,NaN
14,7,60.578999999997905,25525.254,25585.833,NaN
12,8,41.91900000000169,25526.064,25567.983,NaN
13,8,55.08100000000195,25526.35,25581.431,NaN
13,7,56.21600000000035,25526.617,25582.833,NaN
14,10,47.71900000000096,25526.658,25574.377,NaN
3,10,87.34499999999753,25526.809,25614.154,NaN
1,7,46.63300000000163,25526.924,25573.557,NaN
12,7,52.32999999999811,25527.061,25579.391,NaN
1,7,36.617999999998574,25528.024,25564.642,NaN
1,12,60.5,25528.728,25589.228,NaN
14,10,46.38699999999881,25528.826,25575.213,NaN
12,7,46.522000000000844,25529.064,25575.586,NaN
14,10,70.84300000000076,25529.994,25600.837,NaN
12,7,52.96399999999994,25531.268,25584.232,NaN
12,8,41.784999999999854,25533.168,25574.953,NaN
14,8,60.64800000000105,25533.624,25594.272,NaN
13,7,50.2029999999977,25534.863,25585.066,NaN
12,8,55.733000000000175,25535.504,25591.237,NaN
14,7,48.3640000000014,25538.17,25586.534,NaN
13,7,49.099999999998545,25538.199,25587.299,NaN
12,8,48.961999999999534,25538.205,25587.167,NaN
12,7,46.258999999998196,25538.506,25584.765,NaN
13,8,51.27299999999741,25538.83,25590.103,NaN
13,8,54.63999999999942,25538.967,25593.607,NaN
14,8,58.23999999999796,25539.271,25597.511,NaN
1,8,48.36699999999837,25539.436,25587.803,NaN
5,7,28.511999999998807,25539.669,25568.181,NaN
12,8,46.69100000000253,25539.744,25586.435,NaN
13,7,53.442000000002736,25539.796,25593.238,NaN
13,8,48.80400000000009,25539.867,25588.671,NaN
12,7,44.9890000000014,25539.874,25584.863,NaN
-1,7,45.57099999999991,25539.998,25585.569,NaN
3,6,35.955000000001746,25540.157,25576.112,NaN
